#	Kanji	Reading	Definition	Part	Jisho
238	勉強	べんきょう	study	Verbal Noun	Jisho
239	強い	つよい	strong	Adjective	Jisho
240	どれ	どれ	what, which	Noun	Jisho
241	弱い	よわい	weak	Adjective	Jisho
242	引く	ひく	draw, pull	Verb	Jisho
243	質問	しつもん	question	Verbal Noun	Jisho
244	難しい	むずかしい	difficult	Adjective	Jisho
245	数	かず	number	Noun	Jisho
246	勝つ	かつ	win	Verb	Jisho
247	負ける	まける	lose	Verb	Jisho
248	本当に	ほんとうに	really, truly	Adverb	Jisho
249	要る	いる	need, require	Verb	Jisho
250	ドア	ドア	door	Noun	Jisho
251	時計	とけい	clock, watch	Noun	Jisho
252	払う	はらう	pay	Verb	Jisho
253	切る	きる	cut	Verb	Jisho
254	変える	かえる	change	Verb	Jisho
255	乗る	のる	ride, take	Verb	Jisho
256	着る	きる	wear, put on	Verb	Jisho
257	立つ	たつ	stand, rise	Verb	Jisho
258	座る	すわる	sit, sit down	Verb	Jisho
259	次	つぎ	next	Noun	Jisho
260	しゃべる	しゃべる	chat, talk	Verb	Jisho
261	動く	うごく	move	Verb	Jisho
262	働く	はたらく	work	Verb	Jisho
263	早い	はやい	early	Adjective	Jisho
264	速い	はやい	fast	Adjective	Jisho
265	遅い	おそい	slow, late	Adjective	Jisho
266	始める	はじめる	begin, start	Verb	Jisho
267	始まる	はじまる	begin	Verb	Jisho
268	終わる	おわる	finish, end	Verb	Jisho
269	終わり	おわり	end, conclusion	Noun	Jisho
270	テーブル	テーブル	table	Noun	Jisho
271	去年	きょねん	last year	Noun	Jisho
272	紙	かみ	paper	Noun	Jisho
273	楽しむ	たのしむ	enjoy	Verb	Jisho
274	楽しい	たのしい	fun, enjoyable	Adjective	Jisho
275	歌う	うたう	sing	Verb	Jisho
276	欲しい	ほしい	want, desire	Adjective	Jisho
277	色	いろ	color	Noun	Jisho
278	茶色	ちゃいろ	light brown	Noun	Jisho
279	直ぐ	すぐ	at once, soon	Adverb	Jisho
280	ゲーム	ゲーム	game	Noun	Jisho
281	書き直す	かきなおす	rewrite	Verb	Jisho
282	直る	なおる	be repaired, return to normal	Verb	Jisho
283	線	せん	line	Noun	Jisho
284	曲がる	まがる	turn	Verb	Jisho
285	同じ	おなじ	same, identical	Adjectival Noun	Jisho
286	違う	ちがう	differ, be wrong	Verb	Jisho
287	図書館	としょかん	library	Noun	Jisho
288	泊まる	とまる	stay overnight	Verb	Jisho
289	遊ぶ	あそぶ	play	Verb	Jisho
290	どうして	どうして	why	Adverb	Jisho
291	服	ふく	clothes	Noun	Jisho
292	お父さん	おとうさん	father	Noun	Jisho
293	父	ちち	(speaker's)father	Noun	Jisho
294	お母さん	おかあさん	mother	Noun	Jisho
