#	Kanji	Reading	Definition	Frequency	Dispersion	6K #	Jisho
346	または	または	or	210	0.75		Jisho
347	家族	かぞく	family	209	0.93	1130	Jisho
348	に対する	にたいする	to; for; against	208	0.72		Jisho
349	部分	ぶぶん	part, section	207	0.98	664	Jisho
350	一度	いちど	once	207	0.95		Jisho
351	結果	けっか	result	205	0.96	1143	Jisho
352	じゃ	じゃ	well, so, then	204	0.71		Jisho
353	状況	じょうきょう	state of affairs, situation	203	0.87	1300	Jisho
354	時代	じだい	time, era	202	0.95	955	Jisho
355	少ない	すくない	a little, a few	201	1	75	Jisho
356	他	ほか	another, other	201	0.83	635	Jisho
357	うまい	うまい	delicious, tasty; good at	200	0.92	641	Jisho
358	覚える	おぼえる	learn, remember, memorize	200	0.84	159	Jisho
359	東京	とうきょう	Tokyo	200	0.95		Jisho
360	てある	てある	[describes a state resulting from someone’s action]	200	0.96		Jisho
361	続く	つづく	continue, go on, last	198	1	325	Jisho
362	における	における	in	197	0.47		Jisho
363	俺	おれ	I (used by male speakers)	196	0.81	3804	Jisho
364	生まれる	うまれる	be born	196	0.95	825	Jisho
365	父	ちち	father	194	0.83	293	Jisho
366	確か	たしか	sure, certain, reliable	194	0.97	1219	Jisho
367	それぞれ	それぞれ	each	193	0.9	4062	Jisho
368	方法	ほうほう	way, method	192	0.97	888	Jisho
369	はず	はず	ought to, should	191	0.89		Jisho
370	説明	せつめい	explanation	191	0.98	1238	Jisho
371	なければいけない	なければいけない	must, have to, need to	191	0		Jisho
372	部屋	へや	room	190	0.88	185	Jisho
373	ちょうど	ちょうど	just, exactly	190	0.74	1876	Jisho
374	当然	とうぜん	naturally, as a matter of course	189	0.94	885	Jisho
375	大学	だいがく	university, college	189	0.88	232	Jisho
376	ですから	ですから	so, therefore	188	0.68		Jisho
377	実	じつ	truth, true, real	187	0.77	4670	Jisho
378	朝	あさ	morning	187	0.83	138	Jisho
379	どんどん	どんどん	rapidly, fast, soon	186	0.75	4182	Jisho
380	得る	える	get, obtain	186	0.92	3439	Jisho
380	得る	うる	get, obtain	186	0.92	3439	Jisho
381	とにかく	とにかく	anyway, regardless	186	0.83	4308	Jisho
382	選ぶ	えらぶ	choose, select	186	0.94	1312	Jisho
383	面白い	おもしろい	interesting; fun; funny	186	0.84	1072	Jisho
384	戻る	もどる	return, go back	185	0.9	349	Jisho
385	勉強	べんきょう	study	185	0.8	238	Jisho
386	やめる	やめる	stop, give up	183	0.91		Jisho
387	下	した	under; below; down; low	183	0.99	4051	Jisho
388	始める	はじめる	start, begin	182	0.96	266	Jisho
389	まわり	まわり	circumference; surroundings, neighborhood, around	182	0.85		Jisho
390	犬	いぬ	dog	182	0.79	1738	Jisho
391	必ず	かならず	always, certainly, surely	181	0.92	910	Jisho
392	残す	のこす	leave	180	0.91	927	Jisho
393	大事	だいじ	important, serious	180	0.9	614	Jisho
394	嬉しい	うれしい	glad, happy	180	0.83	398	Jisho
395	力	ちから	power, strength	180	0.98	467	Jisho
396	遊ぶ	あそぶ	play	179	0.85	289	Jisho
397	若い	わかい	young	179	0.92	306	Jisho
398	理由	りゆう	reason	179	0.99	1154	Jisho
399	女	おんな	woman, female	179	0.82	108	Jisho
400	簡単	かんたん	easy	178	0.96	869	Jisho
401	始まる	はじまる	start, begin	178	0.97	267	Jisho
402	死ぬ	しぬ	die	176	0.86	317	Jisho
403	今回	こんかい	this time	176	0.92	875	Jisho
404	に関する	にかんする	be concerned with, be related to	175	0.55		Jisho
405	人生	じんせい	life	175	0.84	2345	Jisho
406	通り	とおり	street; as	174	0.88	624	Jisho
407	内容	ないよう	contents	174	0.89	1693	Jisho
408	テレビ	てれび	television, TV	174	0.87	461	Jisho
409	経験	けいけん	experience	173	0.95	892	Jisho
410	木	き	wood; tree	173	0.77	409	Jisho
411	点	てん	point, score	172	0.77	4500	Jisho
412	自然	しぜん	nature	172	0.96	1152	Jisho
413	音	おと	sound, noise	171	0.93	4687	Jisho
414	海	うみ	sea, ocean	171	0.91	487	Jisho
415	一応	いちおう	at first glance; at least, just	170	0.68	2744	Jisho
416	与える	あたえる	give, present	170	0.95	1650	Jisho
417	利用	りよう	use, utilization	169	0.93	904	Jisho
418	働く	はたらく	work	169	0.98	262	Jisho
419	一杯	いっぱい	cup(ful), glass(ful), be full of, a lot of	169	0.75	321	Jisho
420	近く	ちかく	near, nearby	169	0.84	175	Jisho
421	つまり	つまり	in short, that is to say, after all	169	0.92	531	Jisho
422	共	とも	with, together	169	0.93		Jisho
423	存在	そんざい	existence	169	0.93	1210	Jisho
424	絶対	ぜったい	absolute, absolutely, whatever	168	0.89	3621	Jisho
425	日本人	にほんじん	Japanese (person)	168	0.91		Jisho
425	日本人	にっぽんじん	Japanese (person)	168	0.91		Jisho
426	大切	たいせつ	important	168	0.96	950	Jisho
427	足	あし	foot; leg	167	0.91	105	Jisho
428	切る	きる	cut	167	0.94	253	Jisho
429	走る	はしる	run	167	0.93	172	Jisho
430	待つ	まつ	wait	167	0.93	226	Jisho
431	写真	しゃしん	picture, photo	163	0.88	1075	Jisho
432	子供たち	こどもたち	children	162	0.91		Jisho
433	だんだん	だんだん	gradually, more and more, less and less	161	0.61		Jisho
434	二つ	ふたつ	two	161	0.97	5	Jisho
435	楽しむ	たのしむ	enjoy, have a good time	161	0.85	273	Jisho
436	五	ご	five	160	0.84	13	Jisho
437	多く	おおく	many, most	160	0.94	439	Jisho
438	寝る	ねる	sleep; lie down, go to bed	159	0.81	355	Jisho
439	英語	えいご	English language	159	0.77	592	Jisho
440	決める	きめる	decide, fix	159	1	213	Jisho
441	忘れる	わすれる	forget	159	0.9	211	Jisho
442	口	くち	mouth	158	0.86	101	Jisho
443	送る	おくる	send; spend (time)	157	0.93	224	Jisho
444	姿	すがた	figure, shape, appearance	157	0.93	1774	Jisho
445	なくなる	なくなる	disappear; be gone	157	0.94		Jisho
446	時期	じき	time, period, season	156	0.98	938	Jisho
447	逆	ぎゃく	contrary, opposite	156	0.95	3288	Jisho
448	頑張る	がんばる	do one’s best	156	0.77	1899	Jisho
449	示す	しめす	show	155	0.76	1283	Jisho
450	こそ	こそ	EMPHATIC	155	0.95		Jisho
451	人々	ひとびと	people	155	0.9	459	Jisho
452	道	みち	way, road	155	0.95	167	Jisho
453	有名	ゆうめい	famous, well-known	155	0.77	785	Jisho
454	てもいい	てもいい	(I) don’t mind if	154	0.9		Jisho
455	思い	おもい	thought, mind, heart	154	0.94	2274	Jisho
456	しかも	しかも	moreover, besides	154	0.98		Jisho
457	難しい	むずかしい	difficult, hard	153	0.99	244	Jisho
457	難しい	むつかしい	difficult, hard	153	0.99	244	Jisho
458	彼ら	かれら	they	153	0.79	1140	Jisho
459	山	やま	mountain	153	0.92	479	Jisho
